int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.policy_ban_gasoline,self.policy_idle_fee,self.policy_relocation,self.policy_notification,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
119,50,20,4,100,0,False,True,False,False,1.0,35681888.00000003,27331333.33333336,0.0,0.0,0.0,30.822360072426633,0.5137060012071105,1.5137060012071104
120,50,20,4,100,0,False,False,True,True,0.9871579277724116,35916532.666666694,27511000.000000022,0.0,0.0,0.0,30.62099591313554,0.5103499318855923,1.497507859658004
121,50,20,4,100,0,False,False,True,True,0.9901990185387132,38816070.33333372,29731166.66666697,0.0,0.0,0.0,28.333625494684217,0.4722270915780703,1.4624261101167837
122,50,20,4,100,0,False,False,True,True,0.9744152140566952,44562470.3333336,34131166.666666865,0.0,0.0,0.0,24.679960329248804,0.4113326721541467,1.385747886210842
123,50,20,4,100,0,False,False,True,True,0.982824300381552,45163448.00000043,34591333.33333367,0.0,0.0,0.0,24.351550838190864,0.4058591806365144,1.3886834810180666
124,50,20,4,100,0,False,False,True,True,0.9718276189955876,43951915.33333382,33663666.66666705,0.0,0.0,0.0,25.022800295710766,0.4170466715951794,1.3888742905907672
125,50,20,4,100,0,False,False,True,True,1.0,42769114.66666715,32758000.000000387,0.0,0.0,0.0,25.71481800761118,0.428580300126853,1.4285803001268529
126,50,20,4,100,0,False,False,True,True,0.9847550935191164,46355826.00000074,35504333.3333339,0.0,0.0,0.0,23.725173185350695,0.3954195530891782,1.3801746466082947
127,50,20,4,100,0,False,False,True,True,0.9930137967705936,43410796.00000045,33249333.333333693,0.0,0.0,0.0,25.334711669419484,0.4222451944903247,1.4152589912609184
128,50,20,4,100,0,False,False,True,True,0.9855093078898224,39024377.33333364,29890666.6666669,0.0,0.0,0.0,28.18238432367193,0.469706405394532,1.4552157132843546
129,50,20,4,100,0,False,False,True,True,0.985614087606383,46403712.66666719,35541000.0000004,0.0,0.0,0.0,23.700689811184237,0.3950114968530706,1.3806255844594535
130,50,20,4,100,0,False,False,True,False,0.574502624568414,29509296.66666639,22604999.999999795,0.0,0.0,0.0,37.26961074075109,0.6211601790125182,1.1956628035809322
131,50,20,4,100,0,False,False,True,False,1.0,26830037.666666288,20553499.999999706,0.0,0.0,0.0,40.99136995869352,0.6831894993115586,1.6831894993115586
132,50,20,4,100,0,False,False,True,False,0.6316931260128379,33469524.00000004,25637333.33333337,0.0,0.0,0.0,32.85974428557749,0.5476624047596249,1.1793555307724628
133,50,20,4,100,0,False,False,True,False,0.8855006861123556,39742677.333333366,30440666.666666698,0.0,0.0,0.0,27.673022397954178,0.4612170399659029,1.3467177260782586
134,50,20,4,100,0,False,False,True,False,0.8457341433719378,35315555.00000006,27050833.333333384,0.0,0.0,0.0,31.14208455735718,0.5190347426226196,1.3647688859945577
135,50,20,4,100,0,False,False,True,False,1.0,36627649.66666658,28055499.99999994,0.0,0.0,0.0,30.026496649630396,0.5004416108271733,1.5004416108271732
136,50,20,4,100,0,False,False,True,False,0.7365771287326119,38401850.66666702,29414000.00000027,0.0,0.0,0.0,28.63924474750982,0.4773207457918303,1.2138978745244424
137,50,20,4,100,0,False,False,True,False,1.0,29681688.666666336,22736999.999999743,0.0,0.0,0.0,37.053147897043914,0.6175524649507319,1.617552464950732
138,50,20,4,100,0,False,False,True,False,0.8723418950742227,38183966.33333349,29247166.66666679,0.0,0.0,0.0,28.802665244335987,0.4800444207389331,1.3523863158131555
139,50,20,4,100,0,False,False,True,False,1.0,31803067.99999989,24361333.333333258,0.0,0.0,0.0,34.58156930016953,0.5763594883361588,1.576359488336159
140,50,20,4,100,0,False,False,False,True,0.9614020752077428,20276747.33333319,15535666.666666558,0.0,0.0,0.0,54.239468585379335,0.9039911430896556,1.8653932182973985
141,50,20,4,100,0,False,False,False,True,0.9642049523463048,25544280.666666377,19568999.999999784,0.0,0.0,0.0,43.05464751000671,0.7175774585001118,1.6817824108464166
142,50,20,4,100,0,False,False,False,True,0.887796650734754,23980780.99999986,18371833.33333322,0.0,0.0,0.0,45.861725687749974,0.764362094795833,1.652158745530587
143,50,20,4,100,0,False,False,False,True,0.9111609429809516,33201358.66666649,25431999.999999862,0.0,0.0,0.0,33.12515042055124,0.5520858403425207,1.463246783323472
144,50,20,4,100,0,False,False,False,True,0.7083118775355924,27442986.999999676,21022833.33333309,0.0,0.0,0.0,40.07581244709306,0.667930207451551,1.3762420849871435
145,50,20,4,100,0,False,False,False,True,0.8747821830027681,29123808.99999965,22309833.333333064,0.0,0.0,0.0,37.76291761836555,0.6293819603060925,1.5041641433088606
146,50,20,4,100,0,False,False,False,True,0.8022490627465269,30929136.33333298,23692166.666666396,0.0,0.0,0.0,35.558703875436784,0.5926450645906131,1.3948941273371398
147,50,20,4,100,0,False,False,False,True,0.9519529225218066,30615478.66666647,23451999.999999847,0.0,0.0,0.0,35.92300522145488,0.5987167536909147,1.5506696762127214
148,50,20,4,100,0,False,False,False,True,0.8620241321438763,39208741.000000305,30031833.333333574,0.0,0.0,0.0,28.049867757804098,0.4674977959634016,1.329521928107278
149,50,20,4,100,0,False,False,False,True,0.7779891755147638,36462440.66666664,27928999.99999999,0.0,0.0,0.0,30.162544796553316,0.5027090799425553,1.280698255457319
