int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
48,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.6258286009651839,36691413.97869296,19913.666666666486,5217.19471873771,1.0000000000000007,0.2619906622957981
49,date ('2024-01-01 23:55:00'),50,30,6,10,120,0,true,false,0.4591533692487885,35315587.78005209,18870.499999999854,5210.630281463798,0.9987417687803885,0.27612571375765554
50,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.513782793769518,29351014.99494712,14276.166666666682,5228.017567080108,0.9936829462660013,0.36620597735714083
51,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.6569302862200306,31665364.205752783,16034.33333333329,5236.891917562893,0.9953696832787949,0.32660490515536905
52,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.597274967407183,35915980.24406666,19348.999999999807,5198.659302456803,0.9881028565830898,0.2686784486256062
53,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.6956787009411575,41664100.205752395,23690.33333333305,5236.891917562888,0.9953696832787943,0.22105606721009768
54,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.6661228205020425,37957672.205752485,20852.33333333313,5236.891917562893,0.9953696832787949,0.25114177074809907
55,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.6140489123427203,35754885.53908576,19165.666666666497,5236.891917562893,0.9953696832787949,0.27324339970239864
56,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.709846783473135,34472493.99494672,18197.666666666562,5228.017567080108,0.9936829462660013,0.287290544598033
57,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.6257393769707073,31478553.091758803,15896.833333333292,5233.36038315881,0.9946984488258762,0.329207727943227
