int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
132,10,6,210,4,1.0,29671904.166666802,8845833.333333373,8845833.333333317,0.9688658708879639,0.9999999999999937,88.01592190816834
133,10,6,210,4,0.9403846153846154,13187670.833333341,3932500.000000003,3932499.9999999995,0.43071860995952044,0.9999999999999992,198.0334535950718
134,10,6,210,4,0.8194871794871792,22524635.83333332,6715499.999999996,6715499.99999999,0.7355348570077954,0.999999999999999,115.94416084344397
135,10,6,210,4,0.879615384615385,20091503.6614759,6082999.999999987,5931172.439308246,0.6496290778103155,0.9750406771836689,129.9852934854033
136,10,6,210,4,0.6671794871794874,12714056.666666681,3791333.333333337,3791333.3333333316,0.41525691626866573,0.9999999999999984,205.41044203830015
137,10,6,210,4,0.5257542711741187,13131602.378104962,3950833.333333331,3893450.810853249,0.42644163285352304,0.9854758432870495,198.87900385671617
138,10,6,210,4,0.55346620971621,17413451.43829165,5877666.666666659,4755044.1377704665,0.5208101719813507,0.8090020083543027,149.97601189257466
139,10,6,210,4,1.0,31290738.28068333,10527000.000000076,8564345.02066848,0.9380350368763049,0.8135598955702877,83.46239633509113
140,10,9,30,4,0.795349071832122,8605634.071797129,4830053.768630825,1124719.6274436081,0.8623175388905037,0.23285861427634424,73.81210898586932
141,10,9,30,4,0.8393129770992355,6286305.351900959,2803166.666666666,1284693.1927286305,0.9849685602989803,0.4583006811565364,101.04504385997055
142,10,9,30,4,1.0,6444641.4460057495,2924404.104725459,1284693.1927286305,0.9849685602989803,0.4393008444533136,98.5625042637063
143,10,9,30,4,1.0,8258731.380226478,4282687.635696607,1304298.6796844266,1.0,0.3045514384035328,76.91253907601738
144,10,9,30,4,0.839949109414757,8907568.328006694,4779499.999999994,1304298.6796844266,1.0,0.2728943780069941,71.3101462273198
145,10,9,30,4,1.0,6801348.321282882,3167969.7259851173,1303536.615818927,0.9994157290217575,0.4114738234796663,93.39324645560683
146,10,9,30,4,0.725499818247909,8972869.23190838,4855811.874840376,1287528.3504312052,0.9871422631070369,0.26515202475250954,70.7911798983059
147,10,9,30,4,0.7724463831334059,7257890.948001372,3518140.627501375,1303155.6638122203,0.999123654811578,0.37041033937797324,87.51853734794913
148,10,9,30,4,0.9278754578754583,9198503.090841897,5727333.333333317,842153.4525013464,0.6456753085919739,0.1470411103191739,69.0547139819315
149,10,9,30,4,0.7373949579831943,7974259.597387781,4207811.58222334,1213189.0374186353,0.9301466422646113,0.28831828937967935,79.65629814811643
150,10,9,30,4,1.0,10722525.288484521,6170999.999999983,1303155.6638122203,0.9991236548115782,0.21117414743351545,59.23977635027584
151,10,9,30,4,1.0,11125519.475204453,6775999.999999989,1114216.7603080128,0.854265037343744,0.1644357674598605,57.09396324510294
152,10,9,30,4,0.8760504201680672,7770411.233010439,4174499.999999995,1134934.55328313,0.8701492771254863,0.2718731712260466,81.74599528291743
153,10,9,30,4,0.478991596638656,8878888.621817876,4759333.333333326,1303155.6638122203,0.999123654811578,0.2738105470959985,71.5404851953136
154,10,9,30,4,1.0,9894565.685234252,5565999.999999983,1284693.1927286305,0.9849685602989803,0.2308108502926041,64.19685514321408
155,10,9,30,4,1.0,8589442.647346627,4667666.66666666,1220320.4721067108,0.9356142815401497,0.26144122090410177,73.95124760466504
156,10,9,30,4,0.8366666666666652,8862390.850673629,4819833.333333322,1256542.305518299,0.9633854002078096,0.2607024389885477,71.67366128427055
157,10,9,30,4,0.8977644492911673,13034569.591970498,8022666.6666666735,1251309.708135904,0.9593735910540496,0.15597179343558704,48.73195048889787
