int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
156,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,19447572.59686169,6770.499999999996,5178.704862629761,0.9680961955277576,0.7648925282667106
157,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14624344.845309101,5162.666666666651,3849.569958667231,0.7196305119251838,0.7456553380682934
158,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,22478798.596861877,9091.500000000047,5178.704862629765,0.9680961955277584,0.5696205095561501
159,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16129957.322461698,6704.5000000000055,3601.633474440391,0.6732817870066053,0.5371964314177625
160,date ('2024-01-01 23:55:00'),10,30,9,10,true,false,1.0,9010576.955151206,4860.166666666659,1303.1556638122204,0.9991236548115782,0.2681298303512683
161,date ('2024-01-01 23:55:00'),10,30,9,10,true,false,1.0,9591386.679054901,5303.833333333323,1303.8296790572324,0.999640419303876,0.24582779984110265
162,date ('2024-01-01 23:55:00'),10,30,9,10,true,false,1.0,12383243.222268552,7481.833333333341,1278.1530286002064,0.9799542455332805,0.17083420221427967
163,date ('2024-01-01 23:55:00'),10,30,9,10,true,false,1.0,13066577.62181794,7965.833333333334,1303.1556638122204,0.9991236548115782,0.16359313699912797
164,date ('2024-01-01 23:55:00'),10,30,9,10,true,false,1.0,10381516.679054908,5908.833333333324,1303.8296790572322,0.9996404193038759,0.22065771794610908
165,date ('2024-01-01 23:55:00'),10,30,9,10,true,false,1.0,15583501.685234401,9922.000000000047,1284.6931927286305,0.9849685602989803,0.12947925748121591
166,date ('2024-01-01 23:55:00'),10,30,9,10,true,false,1.0,14384905.888935175,9014.500000000004,1278.1530286002062,0.9799542455332804,0.14178856604361922
167,date ('2024-01-01 23:55:00'),10,30,9,10,true,false,1.0,15518322.661340173,9841.333333333383,1304.2986796844268,1.0000000000000002,0.13253272046651068
