int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
128,10,9,180,0,0.956703296703297,21104237.519360352,7212333.33333334,5706147.805121357,0.7291463596489968,0.7911652916469036
129,10,9,180,0,0.8319780219780213,21619207.975634787,6612833.333333329,6339587.266455899,0.8100888962015144,0.9586794263360491
130,10,9,210,0,0.9264705882352942,9127020.833333349,2722500.000000005,2722499.999999998,0.2981898068950524,0.9999999999999974
131,10,9,210,0,1.0,9262339.166666683,2762833.3333333386,2762833.333333333,0.3026074336638682,0.9999999999999979
132,10,9,210,0,0.9389610389610398,29972195.00000014,8935666.666666709,8935666.66666668,0.9787051305094199,0.9999999999999966
133,10,9,210,0,1.0,18261008.33333327,5444999.99999998,5445000.000000006,0.5963796137901058,1.0000000000000047
134,10,9,210,0,0.8356415848782266,30064457.500000127,8963166.666666705,8963166.666666664,0.9817171487608836,0.9999999999999956
135,10,9,210,0,1.0,26956160.6203156,8946666.666666713,7456701.132413578,0.8167170875109367,0.8334613784366849
136,10,9,210,0,1.0,16366551.666666618,4880333.333333318,4880333.333333336,0.5345328390266872,1.0000000000000036
137,10,9,210,0,1.0,22929490.83333333,6836499.999999997,6836499.99999999,0.7487877373142422,0.9999999999999989
138,10,9,210,0,0.9256997455470737,14133799.166666666,4214833.333333333,4214833.333333334,0.46164199734122974,1.0000000000000002
139,10,9,210,0,1.0,27639999.168047998,8691833.333333373,7952870.425271428,0.8710614862710973,0.9149819284697964
140,10,12,30,0,0.7631355932203385,10616074.621817866,6090333.333333316,1303155.6638122203,0.9991236548115782,0.21397115600879382
141,10,12,30,0,0.9302435478008008,9562392.512314625,5707166.66666665,1033137.8781428301,0.7921022187899449,0.1810246552246298
142,10,12,30,0,0.8626373626373629,8824831.066020994,4909666.666666663,1181490.0273406585,0.9058431521425125,0.2406456705833375
143,10,12,30,0,1.0,10319124.994673353,5861166.666666652,1304298.6796844262,0.9999999999999997,0.22253226257874079
144,10,12,30,0,1.0,16430757.076658746,10547166.666666724,1300255.7719173415,0.9969003205860307,0.12328010099875175
145,10,12,30,0,0.7533591731266152,8675615.101424381,4852833.33333333,1144890.8905601383,0.8777827566590369,0.23592215349661141
146,10,12,30,0,1.0,10821093.256700197,6271833.333333321,1287528.3504312052,0.987142263107037,0.2052873987560056
147,10,12,30,0,0.8010335917312645,11885551.018567659,7091333.333333327,1284693.1927286307,0.9849685602989804,0.18116384216348103
148,10,12,30,0,0.7496275946275938,13418202.579187443,8301333.333333346,1261458.2296343301,0.9671544173758868,0.1519585082277138
149,10,12,30,0,0.8303846153846146,9565720.245854056,5351499.999999997,1261458.2296343301,0.9671544173758869,0.23572049511993476
150,10,12,60,0,0.7958197019265711,13448950.65601343,6211333.3333333265,2608597.3593688523,0.9999999999999997,0.41997381550426993
151,10,12,60,0,1.0,13053885.656013409,5908833.333333323,2608597.3593688523,0.9999999999999996,0.4414741814857175
152,10,12,60,0,1.0,16135392.656013545,8268333.333333353,2608597.3593688523,0.9999999999999996,0.31549252481784074
153,10,12,60,0,0.6719780219780219,10865577.030838257,4959166.666666656,2145911.1912339195,0.8226302857843572,0.4327160862847771
154,10,12,60,0,1.0,10153774.783874894,3871999.9999999995,2491463.86068402,0.9550971336131484,0.6434565755898813
155,10,12,60,0,1.0,13840557.893010138,6548666.66666667,2584707.610058625,0.9908419176978666,0.3946921933307479
