int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
216,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.9289377289377283
217,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,1.0
218,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8529443838604145
219,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8221794871794873
220,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,1.0
221,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.7092307692307691
222,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.9129770992366396
223,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,1.0
224,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8745910577971646
225,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8979487179487173
226,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.600329670329671
227,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.9143589743589742
228,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8831719128329303
229,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8603846153846134
230,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,1.0
231,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,1.0
232,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.864994547437295
233,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8574175824175827
234,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.642202835332606
235,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,1.0
236,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8523076923076919
237,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.8263736263736261
238,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,1.0
239,date ('2023-11-01 23:55:00'),10,30,7,20,false,false,0.882710622710621
240,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.8909191583610186
241,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
242,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.9044529262086523
243,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
244,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.9347509996364961
245,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
246,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.7240598290598296
247,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
248,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.909340659340659
249,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.8580152671755716
250,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.8311704834605586
251,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
252,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
253,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.7349999999999987
254,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
255,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.6650549450549444
256,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.6378205128205137
257,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.8800366300366291
258,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
259,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.8475826972010158
260,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.39058524173027975
