int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
171,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,6002.333333333333,-227619.33333333675
172,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,3630.0,-3325886.6666666684
173,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,4234.999999999999,-2535756.6666666684
174,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,4042.4999999999995,-2787161.6666666684
175,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,5767.666666666667,-534094.0
176,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,5696.166666666666,-627473.0
177,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,2581.3333333333335,-4695445.333333334
178,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,6869.5,904900.3333333316
179,date ('2023-11-01 23:55:00'),10,30,8,14,true,false,1.0,4537.499999999999,-2140691.6666666684
180,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,6513.833333333334,-292933.6666666658
181,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,3428.333333333333,-4322596.666666668
182,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,6816.333333333333,102131.33333333163
183,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,4130.500000000001,-3405566.999999997
184,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,5883.166666666666,-1116584.3333333342
185,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,4577.833333333333,-2821349.6666666684
186,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,5505.5,-1609817.0
187,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,4477.0,-2953038.0
188,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,4275.333333333334,-3216414.666666666
