int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
251,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.882967032967034
252,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
253,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8502564102564086
254,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9190072639225174
255,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8201977401129943
256,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
257,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
258,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7438749545619774
259,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8645970695970686
260,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
261,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8218890100569496
262,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
263,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7410256410256391
264,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6538461538461535
265,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9755128205128205
266,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
267,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
268,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6286259541984737
269,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6799435028248589
270,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7353846153846142
271,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9072344322344335
272,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8942202835332597
273,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8170329670329671
274,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8487179487179484
275,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
276,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
277,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.5084249084249087
278,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7225175341454413
279,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.5478735005452556
280,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
281,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9300708833151577
282,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8935114503816786
283,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8838461538461527
284,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8351145038167931
285,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7354961832061067
286,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9228205128205133
287,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9162820512820501
288,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8535623409669199
289,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9184615384615368
290,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
291,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.5805555555555559
292,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8344601962922551
293,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9104395604395604
294,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
295,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8247435897435889
296,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
297,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
298,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6819701926572154
299,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
300,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6543785310734463
301,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
302,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6095238095238089
303,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
304,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8851648351648367
305,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6653296703296699
306,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9212454212454195
307,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.992457288258815
308,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
309,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9837570621468926
310,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.647564102564103
311,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8698473282442745
312,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7468926553672313
313,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8192476990796298
314,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.908651399491094
315,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
316,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6722282806252274
317,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.625851205622198
318,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9461538461538453
319,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8359340659340653
320,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
321,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
322,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6851282051282053
323,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7371468926553664
324,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6401869158878506
325,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
326,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
327,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8190839694656481
328,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
329,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
330,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
331,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8765384615384608
332,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
333,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8363867684478364
334,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9461538461538453
335,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9046153846153836
336,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
337,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9551282051282052
338,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
339,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.76948717948718
340,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6756902761104436
341,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7282051282051272
342,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
343,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.5084615384615384
344,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6129853479853481
345,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9629120879120878
346,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
347,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7417121046892016
348,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
349,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6847457627118628
350,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.628498727735367
351,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8371468926553662
352,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
